source_id,first_name,last_name,institution
27,Alan,Murray,
27,Anthony,Smith,
27,Zoe,Butler,
63,Yaser,Abu-Mostafa,
60,Michael,Fleisher,
59,Alan,Lapedes,
59,Robert,Farber,
69,Andreas,Stafylopatis,
69,Marios,Dikaiakos,
69,D.,Kontoravdis,
6,Gene,Tagliarini,
6,Edward,Page,
33,Bruce,Rosen,
33,James,Goodwin,
33,Jacques,Vidal,
36,Anthony,Michel,
36,Jay,Farrell,
36,Wolfgang,Porod,
35,Sherryl,Tomboulian,
19,Harrison,Leong,
24,James,Bower,
24,Amir,Atiya,
51,Hendricus,Loos,
77,Robert,Marks,
77,Les,Atlas,
77,Seho,Oh,
77,James,Ritcey,
88,David,Burr,
66,Pierre,Baldi,
66,Santosh,Venkatesh,
72,Mark,Derthick,
72,Joe,Tebelskis,
28,Manuel,Fernández,
41,Mario,Vecchi,
41,Jawad,Salehi,
30,Gerald,Tesauro,
30,Terrence,Sejnowski,
78,Geoffrey,Hinton,
78,James,McClelland,
23,Alexander,Singer,
23,John,Donoghue,
21,Christopher,Scofield,
21,Douglas,Reilly,
21,Charles,Elbaum,
21,Leon,Cooper,
85,Ben,Wittner,
85,John,Denker,
81,Harry,Wechsler,
81,George,Zimmerman,
62,Michael,Gately,
9,Amir,Atiya,
26,William,Huang,
26,Richard,Lippmann,
91,Ronald,Rosenfeld,
91,David,Touretzky,
32,Jacques,Vidal,
32,John,Haggerty,
48,Tzi-Dar,Chiueh,
48,Rodney,Goodman,
11,Stuart,Mackie,
11,Hans,Graf,
11,Daniel,Schwartz,
11,John,Denker,
58,Paul,Smolensky,
47,Enis,Ersü,
47,Henning,Tolle,
84,L.,Carley,
45,Ju-Seog,Jang,
45,Soo-Young,Lee,
45,Sang-Yung,Shin,
29,Charles,Marcus,
29,R.,Westervelt,
18,Alexander,Moopenn,
18,H.,Langenbacher,
18,A.,Thakoor,
18,S.,Khanna,
17,Tomaso,Poggio,
17,Anya,Hurlbert,
67,Fernando,Pineda,
89,Nathan,Brown,
70,Jehoshua,Bruck,
70,Joseph,Goodman,
61,Jagmeet,Kanwal,
90,André,Noest,
25,Christof,Koch,
25,Jin,Luo,
25,Carver,Mead,
25,James,Hutchinson,
7,Ken,Hsu,
7,David,Brady,
7,Demetri,Psaltis,
92,Bartlett,Mel,
86,D.,Lehmann,
86,D.,Brandeis,
86,A.,Horst,
86,H.,Ozaki,
86,I.,Pal,
82,Lyle,Borg-Graham,
20,Les,Atlas,
20,Toshiteru,Homma,
20,Robert,Marks,
52,J.,Shepanski,
52,S.,Macy,
15,Eberhard,Fetz,
56,Ralph,Siegel,
42,A.,Robinson,
42,F.,Fallside,
68,James,Houk,
38,Clifford,Lau,
38,Vicente,Honrubia,
37,Ronald,Silverman,
37,Andrew,Noetzel,
54,John,Wyatt,
54,D.,Standley,
4,John,Platt,
4,Alan,Barr,
14,C.,Giles,
14,R.,Griffin,
14,T.,Maxwell,
74,Guo-Zheng,Sun,
74,Yee-Chun,Lee,
74,Hsing-Hen,Chen,
55,John,Cheung,
55,Massoud,Omidvar,
22,Darryl,Coon,
22,A.,Perera,
50,F.,Schuling,
50,H.,Mastebroek,
50,W.,Zaagman,
31,Joshua,Chover,
12,Manoel,Tenorio,
1,Hisashi,Suzuki,
1,Suguru,Arimoto,
13,Paolo,Gaudiano,
16,John,Denker,
16,Ben,Wittner,
87,Gérard,Dreyfus,
87,Isabelle,Guyon,
87,Jean-Pierre,Nadal,
87,Léon,Personnaz,
2,Philip,Chou,
8,Frank,Eeckman,
75,Richard,Golden,
79,Richard,Windecker,
73,Amir,Dembo,
73,Ofer,Zeitouni,
10,Christopher,Scofield,
40,James,Bower,
40,Yiu-Fai,Wong,
40,Jashojiban,Banik,
39,James,Keeler,
53,Dan,Hammerstrom,
46,Anthony,Kuh,
71,William,Baxter,
71,Bruce,Dow,
34,James,Bower,
34,Matthew,Wilson,
5,Ralph,Linsker,
64,Thomas,Petsche,
64,Bradley,Dickinson,
3,Eric,Baum,
3,Frank,Wilczek,
80,Joshua,Alspector,
80,Robert,Allen,
80,Victor,Hu,
80,Srinagesh,Satyanarayana,
49,Bruce,MacDonald,
44,Richard,Granger,
44,Jose,Ambros-Ingerson,
44,Howard,Henry,
44,Gary,Lynch,
76,W.,Stornetta,
76,Tad,Hogg,
76,Bernardo,Huberman,
65,Stephen,Hanson,
65,David,Burr,
83,J.,Bernasconi,
168,Michael,Paulin,
168,Mark,Nelson,
168,James,Bower,
138,Zhaoping,Li,
138,John J.,Hopfield,
134,Alan,Kramer,
134,Alberto,Sangiovanni-Vincentelli,
180,Eyal,Yair,
180,Allen,Gersho,
158,Yoshihiro,Mori,
158,Kazuhiko,Yokosawa,
126,Daniel,Alkon,
126,Francis,Quek,
126,Thomas,Vogl,
163,Hervé,Bourlard,
163,C.,Wellekens,
119,Michael,Mozer,
119,Paul,Smolensky,
144,David,Feld,
144,Joe,Eisenberg,
144,Edwin,Lewis,
141,Mitsuo,Komura,
141,Akio,Tanaka,
140,David,Ackley,
159,Joshua,Alspector,
159,Bhusan,Gupta,
159,Robert,Allen,
170,M.,Konishi,
131,Sylvie,Ryckebusch,
131,James,Bower,
131,Carver,Mead,
156,Stephen,Hanson,
156,Lorien,Pratt,
154,Eric,Baum,
154,David,Haussler,
172,Jack,Meador,
172,Clint,Cole,
123,Pierre,Baldi,
109,Hong,Leung,
109,Victor,Zue,
155,James,Mann,
155,Sheldon,Gilbert,
145,Bill,Baird,
115,Randall,Beer,
115,Hillel,Chiel,
115,Leon,Sterling,
187,Alister,Hamilton,
187,Alan,Murray,
187,Lionel,Tarassenko,
169,John,Harris,
152,Brian,Rasnow,
152,Christopher,Assad,
152,Mark,Nelson,
152,James,Bower,
101,Sharad,Singhal,
101,Lance,Wu,
137,Tobi,Delbrück,
137,C.,Mead,
125,Avrim,Blum,
125,Ronald,Rivest,
136,Jared,Leinbach,
